date_week,province,total_posts,avg_word_count,joy_mean,sadness_mean,anger_mean,fear_mean,surprise_mean,neutral_mean,joy_std,sadness_std,anger_std,fear_std,surprise_std,neutral_std,dominant_emotion_key,dominant_emotion,dominant_score,positive_index,emotional_intensity,fear_joy_ratio,reliable
2019-W48,上海,1,335.0,0.15,0.0,0.0,0.0,0.05,0.8,,,,,,,neutral,中性,0.8,15.0,0.19999999999999996,0.0,False
2019-W48,云南,1,175.0,0.0,0.0,0.0,0.1,0.05,0.85,,,,,,,neutral,中性,0.85,0.0,0.15000000000000002,10.0,False
2019-W48,北京,6,457.6666666666667,0.13333333333333333,0.041666666666666664,0.10833333333333334,0.05000000000000001,0.016666666666666666,0.65,0.2804757862395017,0.06645800679125628,0.24169540059063324,0.08366600265340757,0.040824829046386304,0.3082207001484489,neutral,中性,0.65,0.6349206349206349,0.35,0.34883720930232565,False
2019-W48,台湾,1,118.0,0.1,0.0,0.0,0.0,0.0,0.9,,,,,,,neutral,中性,0.9,10.0,0.09999999999999998,0.0,False
2019-W48,吉林,1,3505.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,neutral,中性,1.0,0.0,0.0,0.0,False
2019-W48,四川,1,119.0,0.1,0.0,0.0,0.0,0.0,0.9,,,,,,,neutral,中性,0.9,10.0,0.09999999999999998,0.0,False
2019-W48,天津,1,131.0,0.1,0.0,0.0,0.1,0.0,0.8,,,,,,,neutral,中性,0.8,0.9090909090909092,0.19999999999999996,0.9090909090909092,False
2019-W48,安徽,2,118.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,中性,1.0,0.0,0.0,0.0,False
2019-W48,山东,3,126.66666666666667,0.13333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333,0.7999999999999999,0.15275252316519466,0.0,0.0,0.05773502691896258,0.05773502691896258,0.17320508075688776,neutral,中性,0.7999999999999999,3.0769230769230766,0.20000000000000007,0.23255813953488372,False
2019-W48,山西,2,125.0,0.15,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,neutral,中性,0.85,15.0,0.15000000000000002,0.0,False
2019-W48,广东,8,124.0,0.049999999999999996,0.00625,0.0375,0.08125,0.018750000000000003,0.80625,0.10690449676496974,0.01767766952966369,0.10606601717798214,0.21033561616752267,0.03720119045714224,0.2210971021325892,neutral,中性,0.80625,0.3703703703703703,0.19374999999999998,1.3541666666666667,False
2019-W48,江苏,4,298.75,0.07500000000000001,0.0,0.05,0.0,0.025,0.85,0.09574271077563382,0.0,0.1,0.0,0.05,0.19148542155126763,neutral,中性,0.85,1.25,0.15000000000000002,0.0,False
2019-W48,河南,2,792.0,0.175,0.025,0.0,0.0,0.0,0.8,0.10606601717798214,0.03535533905932738,0.0,0.0,0.0,0.07071067811865478,neutral,中性,0.8,4.999999999999999,0.19999999999999996,0.0,False
2019-W48,浙江,2,116.0,0.025,0.0,0.0,0.0,0.025,0.95,0.03535533905932738,0.0,0.0,0.0,0.03535533905932738,0.0707106781186547,neutral,中性,0.95,2.5,0.050000000000000044,0.0,False
2019-W48,湖北,1,105.0,0.7,0.0,0.0,0.0,0.25,0.05,,,,,,,joy,喜悦,0.7,70.0,0.95,0.0,False
2019-W48,湖南,1,118.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,neutral,中性,1.0,0.0,0.0,0.0,False
2019-W48,甘肃,1,137.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,neutral,中性,1.0,0.0,0.0,0.0,False
2019-W48,福建,3,131.0,0.15,0.0,0.0,0.0,0.19999999999999998,0.65,0.13228756555322954,0.0,0.0,0.0,0.34641016151377546,0.47696960070847283,neutral,中性,0.65,15.0,0.35,0.0,False
2019-W48,贵州,2,128.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,中性,1.0,0.0,0.0,0.0,False
2019-W48,辽宁,3,166.0,0.05000000000000001,0.0,0.0,0.0,0.016666666666666666,0.9333333333333332,0.05,0.0,0.0,0.0,0.02886751345948129,0.0763762615825973,neutral,中性,0.9333333333333332,5.000000000000001,0.06666666666666676,0.0,False
2019-W48,重庆,1,134.0,0.3,0.1,0.0,0.0,0.0,0.6,,,,,,,neutral,中性,0.6,2.727272727272727,0.4,0.0,False
2019-W48,陕西,1,114.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,neutral,中性,1.0,0.0,0.0,0.0,False
