,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
上海,2,1,2,2,2,2,2,2,2,2,2,1,2
云南,2,1,2,1,1,1,2,0,0,1,1,2,0
内蒙古,-1,0,0,2,1,1,1,1,0,1,1,0,0
北京,2,1,1,2,2,1,1,1,2,1,1,2,1
台湾,-1,1,0,1,2,0,0,0,1,0,0,0,0
吉林,2,1,0,1,0,1,1,0,2,1,1,0,2
四川,1,1,0,2,0,1,1,0,2,1,2,2,0
天津,0,2,0,2,0,0,1,0,2,1,2,2,0
宁夏,-1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1
安徽,1,2,0,1,0,1,1,0,0,1,1,2,0
山东,1,0,0,2,2,1,1,0,2,1,2,1,1
山西,1,0,0,1,0,2,1,0,2,1,1,2,0
广东,1,0,0,2,1,1,1,0,2,2,1,1,1
广西,0,1,0,1,1,1,1,0,2,2,1,0,0
新疆,-1,1,0,1,1,2,2,0,0,1,1,1,2
江苏,0,0,2,1,1,2,1,0,2,2,2,1,1
江西,-1,0,2,2,0,0,1,0,2,1,1,1,0
河北,2,0,0,1,0,1,1,1,2,1,1,2,0
河南,1,1,0,2,1,1,1,0,0,1,1,2,0
浙江,2,0,2,2,2,2,1,2,2,1,1,1,1
海南,-1,2,0,2,0,1,2,2,1,2,2,1,1
湖北,1,2,0,2,0,2,2,1,2,2,2,1,2
湖南,1,0,0,2,0,1,2,2,2,2,2,0,2
澳门,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
甘肃,1,1,0,2,1,1,1,2,0,1,1,0,1
福建,1,1,0,2,0,2,1,0,0,1,1,1,1
西藏,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
贵州,-1,0,0,2,1,1,1,0,0,1,2,1,1
辽宁,2,2,2,2,1,2,1,1,0,1,1,2,2
重庆,2,0,0,2,0,0,1,0,2,1,2,2,2
陕西,2,2,0,2,0,1,1,1,0,2,2,2,1
青海,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1
香港,-1,2,1,2,2,0,2,0,0,2,2,2,0
黑龙江,-1,1,0,2,1,2,0,1,2,2,1,0,1
